Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	384.625114	201.837129	0.000000
CCGT_AMMONIA	0.000031	0.000016	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1622.441226	383.901942	0.000000
WIND_ONSHORE	407.572702	113.845000	0.000000
WIND_OFFSHORE	1162.532824	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	113.624644	151.328957	0.000000
IND_COGEN_WOOD	0.000031	0.000023	0.000000
IND_COGEN_WASTE	0.000039	0.000030	0.000000
IND_BOILER_GAS	0.000085	0.000025	0.000000
IND_BOILER_WOOD	0.000037	0.000011	0.000000
IND_BOILER_OIL	0.000029	0.000009	0.000000
IND_BOILER_COAL	26.804052	7.991673	0.000000
IND_BOILER_WASTE	14.304067	4.264782	0.000000
IND_DIRECT_ELEC	178.181268	10.785376	0.000000
DHN_HP_ELEC	104.498861	73.418931	0.000000
DHN_COGEN_GAS	0.000076	0.000046	0.000000
DHN_COGEN_WOOD	0.000024	0.000018	0.000000
DHN_COGEN_WASTE	0.000031	0.000023	0.000000
DHN_COGEN_WET_BIOMASS	0.000032	0.000054	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000107	0.000070	0.000000
DHN_BOILER_GAS	0.000007	0.000002	0.000000
DHN_BOILER_WOOD	0.000012	0.000003	0.000000
DHN_BOILER_OIL	0.000006	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000014	0.000000	0.000000
DEC_HP_ELEC	534.806022	349.477698	0.000000
DEC_THHP_GAS	1.885186	0.945956	0.000000
DEC_COGEN_GAS	0.000066	0.000073	0.000000
DEC_COGEN_OIL	0.000044	0.000047	0.000000
DEC_ADVCOGEN_GAS	0.000122	0.000039	0.000000
DEC_ADVCOGEN_H2	0.000073	0.000023	0.000000
DEC_BOILER_GAS	0.000054	0.000024	0.000000
DEC_BOILER_WOOD	0.000055	0.000029	0.000000
DEC_BOILER_OIL	0.000040	0.000036	0.000000
DEC_SOLAR	0.000321	0.000061	0.000000
DEC_DIRECT_ELEC	0.000066	0.000004	0.000000
TRAMWAY_TROLLEY	207.241629	99.541628	0.000000
BUS_COACH_DIESEL	0.000025	0.000016	0.000000
BUS_COACH_HYDIESEL	0.000012	0.000006	0.000000
BUS_COACH_CNG_STOICH	1009.022924	655.120121	0.000000
BUS_COACH_FC_HYBRIDH2	0.000006	0.000002	0.000000
TRAIN_PUB	0.000016	0.000018	0.000000
CAR_GASOLINE	0.000007	0.000004	0.000000
CAR_DIESEL	0.000007	0.000003	0.000000
CAR_NG	0.000006	0.000003	0.000000
CAR_METHANOL	0.000006	0.000003	0.000000
CAR_HEV	0.000026	0.000018	0.000000
CAR_PHEV	0.002383	0.001619	0.000000
CAR_BEV	7957.106577	1769.645871	0.000000
CAR_FUEL_CELL	0.000008	0.000001	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
BOAT_FREIGHT_DIESEL	0.000035	0.000051	0.000000
BOAT_FREIGHT_NG	73.023241	106.290003	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000014	0.000009	0.000000
TRUCK_METHANOL	0.000001	0.000001	0.000000
TRUCK_FUEL_CELL	1561.513270	621.044294	0.000000
TRUCK_ELEC	0.000001	0.000000	0.000000
TRUCK_NG	0.000010	0.000007	0.000000
HABER_BOSCH	0.000038	0.000013	0.000000
SYN_METHANOLATION	0.000041	0.000020	0.000000
METHANE_TO_METHANOL	0.000053	0.000048	0.000000
BIOMASS_TO_METHANOL	175.036450	45.911824	0.000000
OIL_TO_HVC	100.403253	7.122553	0.000000
GAS_TO_HVC	0.000036	0.000018	0.000000
BIOMASS_TO_HVC	0.000101	0.000052	0.000000
METHANOL_TO_HVC	46.053537	71.160521	0.000000
PHS	10.920027	0.000000	0.000000
BATT_LI	0.000698	0.000014	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000122	0.000015	0.000000
TS_DEC_HP_ELEC	62.432299	7.503708	0.000000
TS_DEC_THHP_GAS	0.152652	0.018347	0.000000
TS_DEC_COGEN_GAS	0.000121	0.000015	0.000000
TS_DEC_COGEN_OIL	0.000120	0.000014	0.000000
TS_DEC_ADVCOGEN_GAS	0.000121	0.000015	0.000000
TS_DEC_ADVCOGEN_H2	0.000120	0.000014	0.000000
TS_DEC_BOILER_GAS	0.000122	0.000015	0.000000
TS_DEC_BOILER_WOOD	0.000122	0.000015	0.000000
TS_DEC_BOILER_OIL	0.000121	0.000015	0.000000
TS_DHN_DAILY	0.000100	0.000009	0.000000
TS_DHN_SEASONAL	22.936093	2.586331	0.000000
TS_HIGH_TEMP	2.478753	0.549684	0.000000
GAS_STORAGE	32.086040	29.422637	0.000000
H2_STORAGE	0.006996	0.007567	0.000000
DIESEL_STORAGE	0.000404	0.000278	0.000000
GASOLINE_STORAGE	0.000403	0.000277	0.000000
LFO_STORAGE	0.000421	0.000289	0.000000
AMMONIA_STORAGE	0.000399	0.000274	0.000000
METHANOL_STORAGE	0.000408	0.000280	0.000000
CO2_STORAGE	0.001306	0.000314	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
DHN	155.568787	0.000000	0.000000
GRID	2158.161612	0.000000	0.000000
H2_ELECTROLYSIS	0.000493	0.000181	0.000000
SMR	62.878607	120.224572	0.000000
H2_BIOMASS	0.000022	0.000032	0.000000
GASIFICATION_SNG	0.000026	0.000037	0.000000
SYN_METHANATION	0.000005	0.000040	0.000000
BIOMETHANATION	0.000113	0.000027	0.000000
BIO_HYDROLYSIS	243.905925	221.894980	0.000000
PYROLYSIS_TO_LFO	0.000030	0.000028	0.000000
PYROLYSIS_TO_FUELS	0.000030	0.000017	0.000000
ATM_CCS	0.000029	0.000022	0.000000
INDUSTRY_CCS	0.000030	0.000022	0.000000
AMMONIA_TO_H2	0.000019	0.000037	0.000000
ELECTRICITY	0.000000	0.000000	563.897997
GASOLINE	0.000000	0.000000	0.000055
DIESEL	0.000000	0.000000	0.000107
BIOETHANOL	0.000000	0.000000	0.000054
BIODIESEL	0.000000	0.000000	0.000081
LFO	0.000000	0.000000	4010.498266
GAS	0.000000	0.000000	7144.495524
GAS_RE	0.000000	0.000000	0.000142
WOOD	0.000000	0.000000	830.851641
WET_BIOMASS	0.000000	0.000000	242.332997
COAL	0.000000	0.000000	605.239139
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	444.535064
H2	0.000000	0.000000	0.000001
H2_RE	0.000000	0.000000	0.000045
AMMONIA	0.000000	0.000000	0.000000
METHANOL	0.000000	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000	748.819033
METHANOL_RE	0.000000	0.000000	0.000198
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
